Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
43.6,18349653804,418820,43812.7,4120.0,1720,17361525,401878.7,cudaMemcpyAsync
27.3,11479077958,1263320,9086.4,3660.0,2170,7976037,37288.5,cudaLaunchKernel
25.3,10674267150,1151747,9267.9,3650.0,2180,11697539,40191.3,cudaLaunchKernelExC_v11060
0.8,348908077,8,43613509.6,41987260.0,2080,92276063,46479236.4,cudaHostAlloc
0.5,209456198,1263320,165.8,70.0,60,6144196,5569.2,cuKernelGetName
0.5,207271028,327872,632.2,170.0,150,9592202,21101.6,cudaStreamSetAttribute_v11000
0.5,206558103,932,221628.9,245070.0,1450,6628014,309323.8,cudaMalloc
0.5,201288955,211,953976.1,61101.0,33291,187286958,12888794.9,cudaMemGetInfo
0.4,155264698,925,167853.7,189504.0,1170,5562441,244862.8,cudaFree
0.2,95340022,21,4540001.0,3018047.0,627994,15505714,4493591.5,cuLibraryLoadData
0.2,80058002,528,151625.0,3120.0,360,16854549,1213073.5,cudaEventSynchronize
0.1,54414865,8,6801858.1,6606406.0,3380,15026053,7166172.7,cudaFreeHost
0.1,33303827,4231,7871.4,3770.0,2211,8059114,124770.2,cudaStreamSynchronize
0.0,6935568,129,53764.1,46931.0,34951,218545,24007.3,cudaMemcpy
0.0,5670562,776,7307.4,2935.0,70,132393,11972.2,cudaMemsetAsync
0.0,5083105,898,5660.5,200.0,160,1947803,90715.5,cuKernelGetFunction
0.0,4828617,2,2414308.5,2414308.5,3620,4824997,3409228.4,cudaMallocAsync_v11020
0.0,3726144,898,4149.4,3560.0,2020,32441,2809.1,cuLaunchKernel
0.0,1502860,615,2443.7,2220.0,290,22081,2756.5,cudaEventRecord
0.0,501371,42,11937.4,230.0,150,461610,71098.3,cudaEventCreateWithFlags
0.0,392196,1,392196.0,392196.0,392196,392196,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,259797,1587,163.7,140.0,120,2180,102.2,cudaGetDriverEntryPointByVersion_v12050
0.0,186674,1584,117.8,90.0,70,1320,81.2,cuTensorMapEncodeTiled
0.0,156466,880,177.8,130.0,50,1200,139.9,cuGetProcAddress_v2
0.0,109092,3,36364.0,28560.0,25291,55241,16429.5,cudaMemset
0.0,83341,67,1243.9,900.0,280,5300,1098.7,cuLibraryGetKernel
0.0,31730,3,10576.7,7010.0,6670,18050,6474.3,cudaDeviceSynchronize
0.0,30320,17,1783.5,1290.0,330,10020,2247.8,cudaEventDestroy
0.0,27571,13,2120.8,1410.0,320,7080,2181.8,cudaEventCreate
0.0,23692,2,11846.0,11846.0,11391,12301,643.5,cudaStreamCreateWithFlags
0.0,14811,2,7405.5,7405.5,7081,7730,458.9,cudaStreamDestroy
0.0,12580,2,6290.0,6290.0,3900,8680,3380.0,cudaFreeAsync_v11020
0.0,6870,3,2290.0,130.0,130,6610,3741.2,cuModuleGetLoadingMode
0.0,5830,4,1457.5,1350.0,1240,1890,300.2,cuInit
0.0,4500,1,4500.0,4500.0,4500,4500,0.0,cudaStreamWaitEvent
0.0,3350,1,3350.0,3350.0,3350,3350,0.0,cudaMemPoolSetAttribute_v11020
0.0,2240,5,448.0,360.0,100,830,300.1,cudaGetDeviceProperties_v12000
0.0,1230,2,615.0,615.0,340,890,388.9,cuStreamGetCaptureInfo_v2
