Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
26.4,1153932008,44962,25664.6,2980.0,1740,12696291,215307.5,cudaMemcpyAsync
16.4,717678605,53538,13405.0,4160.0,2300,6031094,38117.3,cudaLaunchKernel
14.0,612281205,735,833035.7,127653.0,2120,45684441,4701992.1,cudaEventSynchronize
7.8,339894597,8,42486824.6,42496011.5,2860,85154523,45211737.4,cudaHostAlloc
6.1,267066795,883,302453.9,308397.0,1360,21781456,943767.7,cudaMalloc
5.3,230194281,217,1060803.1,76302.0,31991,213953282,14519003.1,cudaMemGetInfo
5.0,219975866,19888,11060.7,3820.5,2220,6800700,62730.6,cudaLaunchKernelExC_v11060
4.5,197481636,10203,19355.3,3950.0,80,415580,35170.4,cudaMemsetAsync
3.9,170841708,877,194802.4,196589.0,1750,13653273,581600.9,cudaFree
3.2,140257414,20,7012870.7,6851187.0,2157298,18676435,4739559.6,cuLibraryLoadData
2.4,105007013,5927,17716.7,4400.0,1970,2040966,40854.5,cuLaunchKernel
1.3,55842697,8,6980337.1,6926688.5,3060,14021471,7352102.8,cudaFreeHost
1.0,45010994,331,135984.9,28921.0,1960,27059920,1517585.3,cudaStreamSynchronize
0.8,33329752,17024,1957.8,170.0,150,12698767,117085.9,cudaStreamSetAttribute_v11000
0.5,20791606,5927,3507.9,290.0,160,7595068,130593.5,cuKernelGetFunction
0.5,20479652,2543,8053.3,1090.0,390,11841457,237003.0,cudaMallocAsync_v11020
0.2,9914560,1203,8241.5,4370.0,520,145474,9911.8,cudaEventRecord
0.2,8692241,198,43900.2,43371.0,31071,104962,8829.4,cudaMemcpy
0.2,8338840,53538,155.8,70.0,50,47281,786.5,cuKernelGetName
0.2,7543920,40323,187.1,140.0,120,42131,412.5,cudaGetDriverEntryPointByVersion_v12050
0.1,5966223,40320,148.0,100.0,70,55493,458.2,cuTensorMapEncodeTiled
0.1,5116720,2542,2012.9,1370.0,430,15520,1558.4,cudaFreeAsync_v11020
0.0,527558,42,12560.9,250.0,150,487868,75146.5,cudaEventCreateWithFlags
0.0,439029,1,439029.0,439029.0,439029,439029,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,148933,880,169.2,120.0,60,1640,133.9,cuGetProcAddress_v2
0.0,89832,64,1403.6,985.0,340,4680,1119.5,cuLibraryGetKernel
0.0,68632,4,17158.0,925.0,100,66682,33019.2,cudaGetDeviceProperties_v12000
0.0,57111,1,57111.0,57111.0,57111,57111,0.0,cudaMemset
0.0,53882,11,4898.4,1660.0,380,38181,11069.4,cudaEventDestroy
0.0,41120,3,13706.7,7810.0,7450,25860,10526.6,cudaDeviceSynchronize
0.0,26071,2,13035.5,13035.5,10440,15631,3670.6,cudaStreamCreateWithFlags
0.0,16501,2,8250.5,8250.5,7300,9201,1344.2,cudaStreamDestroy
0.0,14890,7,2127.1,2340.0,450,4810,1595.1,cudaEventCreate
0.0,12280,32,383.8,285.0,180,730,170.9,cuStreamGetCaptureInfo_v2
0.0,6291,4,1572.8,1590.5,1190,1920,329.2,cuInit
0.0,4960,1,4960.0,4960.0,4960,4960,0.0,cudaStreamWaitEvent
0.0,4090,3,1363.3,190.0,180,3720,2040.9,cuModuleGetLoadingMode
0.0,3970,1,3970.0,3970.0,3970,3970,0.0,cudaMemPoolSetAttribute_v11020
