Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
22.0,1140656080,64050,17808.8,3990.0,2270,2091681,56521.0,cudaLaunchKernel
18.1,940557915,1014,927571.9,121967.5,340,61904383,5567964.6,cudaEventSynchronize
15.2,791310667,17213,45971.7,4440.0,1790,12515583,393430.8,cudaMemcpyAsync
9.8,510702761,33590,15204.0,3740.0,2270,6829042,71060.7,cudaLaunchKernelExC_v11060
6.5,339305803,8,42413225.4,42519050.0,4590,85374403,45065488.8,cudaHostAlloc
6.5,336054781,1195,281217.4,307542.0,1610,22839281,983133.4,cudaMalloc
4.0,207294654,273,759321.1,76222.0,62597,185698228,11234170.4,cudaMemGetInfo
3.9,204476972,1188,172118.7,182909.0,1080,17917758,640054.2,cudaFree
3.7,194472416,13042,14911.2,4050.0,70,734366,41461.9,cudaMemsetAsync
2.9,148696518,21,7080786.6,7578348.0,2065276,17417986,4644660.8,cuLibraryLoadData
2.1,109643546,7598,14430.6,5030.0,2161,571203,26213.1,cuLaunchKernel
1.1,59294131,387,153214.8,26461.0,1970,39787885,2039013.8,cudaStreamSynchronize
1.1,55293902,8,6911737.8,6940592.5,3260,13859949,7257725.4,cudaFreeHost
0.9,44996963,21888,2055.8,170.0,150,33889931,229077.8,cudaStreamSetAttribute_v11000
0.5,25028082,3260,7677.3,1460.0,420,10923752,195893.6,cudaMallocAsync_v11020
0.4,21339871,7598,2808.6,320.0,160,7691530,113952.6,cuKernelGetFunction
0.2,12162808,1617,7521.8,3770.0,270,169603,9807.5,cudaEventRecord
0.2,11689261,51843,225.5,140.0,120,218675,1899.3,cudaGetDriverEntryPointByVersion_v12050
0.2,11248619,254,44285.9,42271.0,30751,161764,13997.3,cudaMemcpy
0.2,9867651,51840,190.3,100.0,70,187844,1922.5,cuTensorMapEncodeTiled
0.2,8915831,64050,139.2,70.0,50,109742,967.8,cuKernelGetName
0.1,7451410,3260,2285.7,1600.0,470,142023,3691.1,cudaFreeAsync_v11020
0.0,508091,42,12097.4,240.0,160,477611,73588.2,cudaEventCreateWithFlags
0.0,419510,1,419510.0,419510.0,419510,419510,0.0,cudaDeviceGetDefaultMemPool_v11020
0.0,145263,880,165.1,130.0,60,1270,123.8,cuGetProcAddress_v2
0.0,93893,64,1467.1,870.5,260,10840,1662.1,cuLibraryGetKernel
0.0,56232,1,56232.0,56232.0,56232,56232,0.0,cudaMemset
0.0,22670,3,7556.7,7590.0,7230,7850,311.3,cudaDeviceSynchronize
0.0,22511,2,11255.5,11255.5,11210,11301,64.3,cudaStreamCreateWithFlags
0.0,22100,11,2009.1,1470.0,400,6270,1618.9,cudaEventDestroy
0.0,17680,7,2525.7,2280.0,310,5530,1930.9,cudaEventCreate
0.0,13640,32,426.3,410.0,190,920,174.8,cuStreamGetCaptureInfo_v2
0.0,13210,2,6605.0,6605.0,6590,6620,21.2,cudaStreamDestroy
0.0,5730,4,1432.5,1300.0,1100,2030,413.3,cuInit
0.0,5350,1,5350.0,5350.0,5350,5350,0.0,cudaStreamWaitEvent
0.0,4540,3,1513.3,190.0,130,4220,2344.2,cuModuleGetLoadingMode
0.0,3180,1,3180.0,3180.0,3180,3180,0.0,cudaMemPoolSetAttribute_v11020
0.0,2420,4,605.0,550.0,70,1250,510.1,cudaGetDeviceProperties_v12000
